ID,log(g),e_,[Fe/H],e_,Teff [K],e_,E(B-V),Plx [mas],e_,mBT [mag],e_,mVT [mag],e_,mG [mag],e_,mBP [mag],e_,mRP [mag],e_,mJ [mag],e_,mH [mag],e_,mK [mag],e_,BC_BT [mag],e_,BC_VT [mag],e_,BC_G [mag],e_,BC_BP [mag],e_,BC_RP [mag],e_,BC_J [mag],e_,BC_H [mag],e_,BC_K [mag],e_,R_star_old [solar ray],e_,R_exo_old [solar ray],e_
WASP-001,4.195,0.017,0.14,0.07,6160,64,0,2.611,0.0218,12.241,0.208,11.393,0.129,11.532,0.002774,11.827,0.002854,11.075,0.003796,10.586,0.019,10.364,0.016,10.276,0.018,-0.665,0.029,-0.061,0.009,0.106,0.006,-0.165,0.011,0.526,0.011,0.984,0.022,1.201,0.030,1.278,0.032,1.47,0.032,1.483,0.034
WASP-002,4.536,0.015,0.04,0.05,5170,60,0,6.578,0.027,12.83,0.303,12.033,0.214,11.572,0.002791,12.018,0.002856,10.936,0.003828,10.166,0.027,9.752,0.026,9.632,0.024,-1.269,0.046,-0.283,0.022,0.015,0.011,-0.42,0.022,0.6,0.003,1.306,0.018,1.71,0.032,1.82,0.034,0.821,0.014,1.06,0.025
WASP-003,4.26,0.04,0.161,0.063,6340,90,0,4.334,0.012,11.155,0.055,10.684,0.054,10.454,0.002762,10.702,0.002826,10.049,0.003788,9.603,0.02,9.407,0.014,9.361,0.015,-0.593,0.033,-0.042,0.010,0.109,0.005,-0.138,0.012,0.503,0.014,0.924,0.029,1.115,0.041,1.189,0.042,1.298,0.053,1.346,0.063
WASP-004,4.487,0.01,-0.03,0.09,5540,55,0,3.662,0.0147,13.792,0.414,12.597,0.23,12.305,0.00278,12.685,0.002943,11.766,0.003866,11.179,0.025,10.842,0.026,10.746,0.021,-0.989,0.034,-0.175,0.013,0.062,0.007,-0.3,0.014,0.581,0.007,1.184,0.017,1.513,0.027,1.606,0.029,0.91,0.018,1.364,0.028
WASP-005,4.379,0.03,0.09,0.09,5770,65,0,3.188,0.015,9.833,0.022,8.485,0.013,11.988,0.002777,12.33,0.003001,11.486,0.003867,10.949,0.022,10.65,0.025,10.598,0.023,-0.862,0.036,-0.122,0.012,0.086,0.006,-0.241,0.014,0.569,0.008,1.114,0.021,1.395,0.031,1.482,0.033,1.088,0.04,1.175,0.055
WASP-006,4.487,0.017,-0.2,0.09,5375,65,0,5.007,0.013,13.159,0.351,12.017,0.182,11.969,0.002772,12.356,0.003151,11.415,0.003898,10.769,0.026,10.445,0.025,10.325,0.025,-1.072,0.043,-0.223,0.018,0.036,0.009,-0.349,0.019,0.579,0.007,1.23,0.020,1.598,0.032,1.694,0.035,0.864,0.025,1.23,0.037
WASP-007,4.218,0.048,0.0,0.1,6520,70,0,6.19,0.0176,10.072,0.027,9.56,0.022,9.384,0.002761,9.61,0.002806,9.002,0.003795,8.648,0.027,8.414,0.042,8.396,0.023,-0.52,0.024,-0.042,0.010,0.096,0.008,-0.127,0.010,0.46,0.015,0.853,0.025,1.026,0.033,1.094,0.035,1.478,0.088,1.374,0.094
WASP-008,4.498,0.018,0.29,0.03,5690,36,0,11.105,0.0175,10.689,0.029,9.871,0.021,9.619,0.002779,9.977,0.002998,9.095,0.003865,8.501,0.027,8.218,0.049,8.086,0.023,-0.938,0.021,-0.128,0.007,0.092,0.003,-0.256,0.008,0.594,0.004,1.152,0.011,1.437,0.016,1.532,0.018,0.976,0.021,1.165,0.033
WASP-010,4.62,0.05,0.05,0.08,4735,69,0,7.072,0.0135,12.303,0.171,11.777,0.158,12.164,0.002779,12.736,0.003035,11.452,0.00387,10.603,0.026,10.117,0.029,9.983,0.018,-1.689,0.077,-0.514,0.046,-0.093,0.022,-0.637,0.042,0.583,0.008,1.436,0.019,1.957,0.040,2.088,0.043,0.678,0.032,1.039,0.049
WASP-011,4.569,0.018,0.12,0.09,4900,65,0,7.7,0.0579,12.845,0.296,11.679,0.15,11.559,0.00287,12.072,0.003107,10.873,0.003871,10.015,0.02,9.56,0.019,9.421,0.017,-1.527,0.069,-0.411,0.038,-0.043,0.018,-0.544,0.035,0.599,0.006,1.391,0.020,1.86,0.038,1.985,0.041,0.772,0.015,0.99,0.023
