ID,Teff,e_Teff,Plx,e_Plx,distance,e_distance,e_Plx_relative,R_all_det,e_R_all_det,Z_all_det,R_J_MC,e_R_J_MC,R_H_MC,e_R_H_MC,R_K_MC,e_R_K_MC,R_IR,e_R_IR,R_IR_median,R_IR_p16,R_IR_p84,Z_IR,R_A,e_R_A,delta_R_all_det,delta_R_IR
WASP-001,6160,64,2.611,0.0218,382.9950210647261,3.197737058296066,0.834929145921103,1.434499390916139,0.014235066997084277,-1.0136260203764458,1.454519484740416,0.023721958005410965,1.457794829311045,0.01881920993215022,1.4652492798800358,0.01916373156843151,1.4591878646438325,0.02117021522705519,1.4592937411088118,1.4383986304226635,1.480010425569753,-0.28179372005624503,1.47,0.032,-0.03550060908386099,-0.01081213535616743
WASP-002,5170,60,6.578,0.027,152.02189115232594,0.6239876955173,0.41045910611128006,0.8336528330148235,0.008983428606577474,0.7606443357861438,0.8571810245084344,0.01686354704468613,0.8613972112557731,0.012755954280945048,0.8652322696290836,0.011864360241658167,0.8612701684644303,0.014378850275811978,0.861549894847131,0.8472957703252267,0.87532065043487,2.0066191471109924,0.821,0.014,0.012652833014823561,0.04027016846443032
WASP-003,6340,90,4.334,0.012,230.73373327180437,0.63885666803453,0.2768804799261652,1.3176036521144416,0.015308083241580665,0.35535459410522685,1.3370457193329344,0.02320724313562272,1.340208272362932,0.014835395896311042,1.323123227851247,0.014174975454889587,1.3334590731823712,0.019363040279783084,1.3327772895838232,1.314550334450656,1.3523283432044841,0.6284139346020916,1.298,0.053,0.019603652114441594,0.03545907318237118
WASP-004,5540,55,3.662,0.0147,273.07482250136536,1.0961769226570375,0.4014199890770071,0.8892335929418179,0.008265681364279456,-1.0484321127506342,0.8899329185355146,0.015205987003725744,0.8933892606145293,0.01267799323487096,0.894630062736684,0.010805412800014177,0.892650747295576,0.013172277246110515,0.8927409648404661,0.8798966805725248,0.9054786874435922,-0.7778222300004382,0.91,0.018,-0.020766407058182113,-0.017349252704424
WASP-005,5770,65,3.188,0.015,313.6762860727729,1.4758921866661208,0.4705144291091593,1.1316886464364206,0.011233862911679542,1.0515334058622896,1.0824923041365802,0.018072653966206165,1.0911763172951419,0.015717636532767258,1.0734738326247706,0.014335057077620856,1.0823808180188308,0.017661820258894505,1.081962761749059,1.064750266328196,1.1001473391134553,-0.12850972066272104,1.088,0.04,0.043688646436420564,-0.005619181981169286
WASP-006,5375,65,5.007,0.013,199.72039145196723,0.5185470519024513,0.25963650888755746,0.814656900755912,0.008971684114604363,-1.8577216803807566,0.817904349483171,0.015446902609548747,0.8010506815431018,0.011503456914235698,0.8101376458335433,0.011323567069657961,0.809697558953272,0.014622408991375468,0.8088733411925297,0.7954419623706367,0.8239028356903972,-1.8749353569510117,0.864,0.025,-0.04934309924408797,-0.05430244104672799
WASP-007,6520,70,6.19,0.0176,161.55088852988692,0.45933693669240866,0.28432956381260094,1.4261428927085058,0.012762352441754886,-0.583184238731378,1.4201486226953752,0.02358099917541243,1.4607257763671435,0.030027708742493033,1.427309395789306,0.017799996111594378,1.436061264950608,0.030070057981069518,1.4327996222914057,1.4079319687276022,1.465320630157095,-0.4509747788681017,1.478,0.088,-0.051857107291494176,-0.04193873504939205
WASP-008,5690,36,11.105,0.0175,90.04952723998198,0.14190605373252455,0.1575866726699685,0.9482792656791876,0.005403780349464725,-1.2783890123340893,0.9692186875987038,0.014098095196668622,0.96819213784458,0.022254243508093977,0.9849996662530024,0.011310140923326162,0.9741368305654289,0.01825200218993748,0.9753486965396201,0.9563098670796653,0.9917193354967984,-0.0669643774389082,0.976,0.021,-0.027720734320812346,-0.0018631694345710992
WASP-010,4735,69,7.072,0.0135,141.40271493212668,0.26992882516737987,0.19089366515837106,0.7323900517383094,0.009735308296063694,1.6261022738315203,0.7328046898335852,0.017346612108261314,0.7207028734720482,0.012297359111030224,0.7216087394156782,0.008854313400899478,0.7250387675737705,0.0143917932331705,0.7236262121387,0.7119132253114407,0.7381353316104438,1.3406181242743729,0.678,0.032,0.05439005173830935,0.04703876757377046
WASP-011,4900,65,7.7,0.0579,129.87012987012986,0.9765559116208467,0.7519480519480519,0.8206636540463713,0.01018475038020385,2.6840191742619055,0.840858330489173,0.018167927246000352,0.8352951135920517,0.012414044198556861,0.840653944004172,0.011288798287894156,0.8389357960284656,0.014508407538058344,0.8385661148343404,0.8250977145497508,0.8526813978867563,3.207505426651786,0.772,0.015,0.048663654046371296,0.06693579602846556
