ID,Z_IR,R_IR,e_R_IR,R_A,e_R_A,relative_delta_R_IR,Teff,e_Teff,Plx,e_Plx,e_Plx_relative,R_J_MC,e_R_J_MC,R_H_MC,e_R_H_MC,R_K_MC,e_R_K_MC,R_K_minus_R_J,e_R_K_minus_R_J,R_all_det,e_R_all_det,Z_all_det
WASP-002,2.0066191471109924,0.8612701684644303,0.014378850275811978,0.821,0.014,4.905014429285059,5170,60,6.578,0.027,0.41045910611128006,0.8571810245084344,0.01686354704468613,0.8613972112557731,0.012755954280945048,0.8652322696290836,0.011864360241658167,0.008051245120649253,0.020618978220857145,0.8336528330148235,0.008983428606577474,0.7606443357861438
WASP-011,3.207505426651786,0.8389357960284656,0.014508407538058344,0.772,0.015,8.670439900060305,4900,65,7.7,0.0579,0.7519480519480519,0.840858330489173,0.018167927246000352,0.8352951135920517,0.012414044198556861,0.840653944004172,0.011288798287894156,-0.00020438648500098466,0.02138949618856704,0.8206636540463713,0.01018475038020385,2.6840191742619055
WASP-015,-2.5223084703370544,1.3891533826367704,0.028948025303874716,1.522,0.044,-8.72842426828053,6573,70,3.489,0.0176,0.5044425336772714,1.3651798798685117,0.02124484212735909,1.416650209520977,0.019998160593331326,1.385630058520822,0.017874840013005648,0.020450178652310358,0.02776424359688121,1.3260840892919163,0.01255760230253927,-4.2816697619806305
WASP-022,-1.9687212281438022,1.1848473239677644,0.01922902247064744,1.255,0.03,-5.589854663923149,6153,46,3.153,0.0327,1.0371075166508088,1.175485010135837,0.01878018156238223,1.1911838476199907,0.01820535176673903,1.1878731141474654,0.016977522365475915,0.012388104011628487,0.025316624679966253,1.154397398879061,0.0094527485966444,-3.198403504574198
WASP-036,-2.6043763193065566,0.9309806697850467,0.015304258087705639,0.985,0.014,-5.484195960908966,5928,59,2.649,0.0129,0.4869762174405436,0.9354018719189913,0.016392372748701103,0.933193264746428,0.013955823782409227,0.9243468726897208,0.013068136036542362,-0.011054999229270446,0.020963922910608494,0.9246087149911337,0.008795864379661632,-3.6525909979390008
WASP-038,2.0276397255443013,1.4357926384160034,0.029837387902617706,1.35,0.03,6.355010253037278,6436,60,7.337,0.0181,0.24669483440098133,1.4299490944269895,0.02054651560439382,1.425172961415858,0.03232450501647752,1.4522558594051622,0.028034805199724296,0.022306764978172744,0.03475787113832041,1.350236023096074,0.010813623794190964,0.007401300221681418
WASP-042,-2.3167577692908816,0.8264659497513412,0.01895131906457201,0.892,0.021,-7.3468666198047945,5315,79,5.621,0.0153,0.2721935598647927,0.8110621021438126,0.01776280338127366,0.8419433560346664,0.012479620254143765,0.826392391075545,0.011374950086414835,0.015330288931732383,0.02109281094188766,0.815885486697721,0.010239709598643038,-3.257843065474212
WASP-048,3.1851666247458623,1.745852659749607,0.0497143455014072,1.519,0.051,14.934342313996511,6000,150,2.164,0.0104,0.4805914972273567,1.7843525691077444,0.052578402224729065,1.73013683981256,0.038243687475649824,1.723068570328517,0.030649717482174824,-0.06128399877922752,0.06085962177209556,1.7855889163681806,0.037596033213806355,4.2075417029794675
WASP-056,2.200172346188569,1.1936988250915261,0.026511389894063833,1.112,0.026,7.347016644921406,5600,100,3.047,0.0162,0.5316704955694125,1.212766630583792,0.028321896853989594,1.1905332320110893,0.019594978683417388,1.1777966126796975,0.017206502730020307,-0.0349700179040946,0.03313900387166491,1.2087989770366658,0.018768824180240465,3.0186825670056527
WASP-057,3.4090568982741165,1.0636158056791656,0.022736646372424722,0.927,0.033,14.737411615875462,5600,100,2.468,0.0162,0.6564019448946515,1.0679043045444827,0.025916799745394903,1.0709567848118349,0.018697535494209782,1.0519863276811794,0.01794835962507291,-0.015917976863303318,0.03152497616611072,1.112179089575316,0.017244773254405762,4.973366411859753
WASP-077,2.4425632735082967,1.0361792306908202,0.029657758674170778,0.955,0.015,8.50044300427437,5605,41,9.463,0.0183,0.1933847617034767,1.029833241660997,0.012934499572809875,1.069007477031904,0.020605287112516055,1.0096969733795598,0.015086003912254667,-0.02013626828143722,0.01987180900772705,0.9491153157127739,0.006495183488152644,-0.360010505440558
WASP-078,-3.0447306690801144,2.0076069312268907,0.05143899810563158,2.35,0.1,-14.569917820132313,6100,150,1.385,0.0136,0.9819494584837544,2.0321879540881804,0.06055242002281354,1.994244945523317,0.042876388439739656,1.9963878940691742,0.03904783674944557,-0.03580006001900626,0.07205087872767814,2.0478821680213826,0.044000441672319764,-2.765325429350293
WASP-085,3.711607208270895,1.100941989539259,0.038339124745381814,0.935,0.023,17.74780636783517,5685,65,7.115,0.0305,0.42867182009838367,1.0656949952834478,0.021969800854509457,1.0923362086637378,0.02041647767616326,1.1447947646705918,0.016451590205092362,0.07909976938714403,0.027446802543522178,0.7274915000806975,0.008045152081214361,-8.51615222749733
